brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references,verification_status
Trane,chiller,air_cooled_chiller,Series R RTAC,RTAC 140 air-cooled screw chiller - 140 nominal tons - 2-pass evaporator,101.6,4.0,,,492.36,140,Grooved,ANSI/AWWA C606,Steel,,,Water/Glycol,,,RTAC 140,Trane RLC-PRC006N-EN Air-Cooled Series R RTAC catalog,product catalog,https://www.tranehk.com/files/Products/RLC-PRC006N-EN.pdf,ASHRAE TC 9.9,verified
Trane,chiller,air_cooled_chiller,Series R RTAC,RTAC 155 air-cooled screw chiller - 155 nominal tons - 2-pass evaporator,101.6,4.0,,,545.11,155,Grooved,ANSI/AWWA C606,Steel,,,Water/Glycol,,,RTAC 155,Trane RLC-PRC006N-EN Air-Cooled Series R RTAC catalog,product catalog,https://www.tranehk.com/files/Products/RLC-PRC006N-EN.pdf,ASHRAE TC 9.9,verified
Trane,chiller,air_cooled_chiller,Series R RTAC,RTAC 170 air-cooled screw chiller - 170 nominal tons - 2-pass evaporator,152.4,6.0,,,597.86,170,Grooved,ANSI/AWWA C606,Steel,,,Water/Glycol,,,RTAC 170,Trane RLC-PRC006N-EN Air-Cooled Series R RTAC catalog,product catalog,https://www.tranehk.com/files/Products/RLC-PRC006N-EN.pdf,ASHRAE TC 9.9,verified
Trane,chiller,air_cooled_chiller,Series R RTAC,RTAC 185 air-cooled screw chiller - 185 nominal tons - 2-pass evaporator,152.4,6.0,,,650.62,185,Grooved,ANSI/AWWA C606,Steel,,,Water/Glycol,,,RTAC 185,Trane RLC-PRC006N-EN Air-Cooled Series R RTAC catalog,product catalog,https://www.tranehk.com/files/Products/RLC-PRC006N-EN.pdf,ASHRAE TC 9.9,verified
Trane,chiller,air_cooled_chiller,Series R RTAC,RTAC 200 air-cooled screw chiller - 200 nominal tons - 2-pass evaporator,152.4,6.0,,,703.37,200,Grooved,ANSI/AWWA C606,Steel,,,Water/Glycol,,,RTAC 200,Trane RLC-PRC006N-EN Air-Cooled Series R RTAC catalog,product catalog,https://www.tranehk.com/files/Products/RLC-PRC006N-EN.pdf,ASHRAE TC 9.9,verified
Trane,chiller,air_cooled_chiller,Series R RTAC,RTAC 225 air-cooled screw chiller - 225 nominal tons - 2-pass evaporator,152.4,6.0,,,791.29,225,Grooved,ANSI/AWWA C606,Steel,,,Water/Glycol,,,RTAC 225,Trane RLC-PRC006N-EN Air-Cooled Series R RTAC catalog,product catalog,https://www.tranehk.com/files/Products/RLC-PRC006N-EN.pdf,ASHRAE TC 9.9,verified
Trane,chiller,air_cooled_chiller,Series R RTAC,RTAC 250 air-cooled screw chiller - 250 nominal tons - 2-pass evaporator,152.4,6.0,,,879.21,250,Grooved,ANSI/AWWA C606,Steel,,,Water/Glycol,,,RTAC 250,Trane RLC-PRC006N-EN Air-Cooled Series R RTAC catalog,product catalog,https://www.tranehk.com/files/Products/RLC-PRC006N-EN.pdf,ASHRAE TC 9.9,verified
Trane,chiller,air_cooled_chiller,Series R RTAC,RTAC 275 air-cooled screw chiller - 275 nominal tons - 2-pass evaporator,203.2,8.0,,,967.13,275,Grooved,ANSI/AWWA C606,Steel,,,Water/Glycol,,,RTAC 275,Trane RLC-PRC006N-EN Air-Cooled Series R RTAC catalog,product catalog,https://www.tranehk.com/files/Products/RLC-PRC006N-EN.pdf,ASHRAE TC 9.9,verified
Trane,chiller,air_cooled_chiller,Series R RTAC,RTAC 300 air-cooled screw chiller - 300 nominal tons - 2-pass evaporator,203.2,8.0,,,1055.06,300,Grooved,ANSI/AWWA C606,Steel,,,Water/Glycol,,,RTAC 300,Trane RLC-PRC006N-EN Air-Cooled Series R RTAC catalog,product catalog,https://www.tranehk.com/files/Products/RLC-PRC006N-EN.pdf,ASHRAE TC 9.9,verified
Trane,chiller,air_cooled_chiller,Series R RTAC,RTAC 350 air-cooled screw chiller - 350 nominal tons - 2-pass evaporator,203.2,8.0,,,1230.9,350,Grooved,ANSI/AWWA C606,Steel,,,Water/Glycol,,,RTAC 350,Trane RLC-PRC006N-EN Air-Cooled Series R RTAC catalog,product catalog,https://www.tranehk.com/files/Products/RLC-PRC006N-EN.pdf,ASHRAE TC 9.9,verified
